"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2020","3,100.29","3,050.20","3,111.51","3,047.83","-","1.54%"
"Jul 01, 2020","3,115.86","3,105.92","3,128.44","3,101.17","-","0.50%"
"Jul 02, 2020","3,130.01","3,143.64","3,165.81","3,124.52","-","0.45%"
"Jul 06, 2020","3,179.72","3,155.29","3,182.59","3,155.29","-","1.59%"
"Jul 07, 2020","3,145.32","3,166.44","3,184.15","3,142.93","-","-1.08%"
"Jul 08, 2020","3,169.94","3,153.07","3,171.80","3,136.53","-","0.78%"
"Jul 09, 2020","3,152.05","3,176.17","3,179.78","3,115.70","-","-0.56%"
"Jul 10, 2020","3,185.04","3,152.47","3,186.82","3,136.22","-","1.05%"
"Jul 13, 2020","3,155.22","3,205.08","3,235.32","3,149.43","-","-0.94%"
"Jul 14, 2020","3,197.52","3,141.11","3,200.95","3,127.66","-","1.34%"
"Jul 15, 2020","3,226.56","3,225.98","3,238.28","3,200.76","-","0.91%"
"Jul 16, 2020","3,215.57","3,208.36","3,220.39","3,198.59","-","-0.34%"
"Jul 17, 2020","3,224.73","3,224.21","3,233.52","3,205.65","-","0.28%"
"Jul 20, 2020","3,251.84","3,224.29","3,258.61","3,215.16","-","0.84%"
"Jul 21, 2020","3,257.30","3,268.52","3,277.29","3,247.77","-","0.17%"
"Jul 22, 2020","3,276.02","3,254.86","3,279.32","3,253.10","-","0.57%"
"Jul 23, 2020","3,235.66","3,271.64","3,279.99","3,222.66","-","-1.23%"
"Jul 24, 2020","3,215.63","3,218.58","3,227.26","3,200.05","-","-0.62%"
"Jul 27, 2020","3,239.41","3,219.84","3,241.43","3,214.25","-","0.74%"
"Jul 28, 2020","3,218.44","3,234.27","3,243.72","3,216.17","-","-0.65%"
"Jul 29, 2020","3,258.44","3,227.22","3,264.74","3,227.22","-","1.24%"
"Jul 30, 2020","3,246.22","3,231.76","3,250.92","3,204.13","-","-0.38%"
"Jul 31, 2020","3,271.12","3,270.45","3,272.17","3,220.26","-","0.77%"
"Aug 03, 2020","3,294.61","3,288.26","3,302.73","3,284.53","-","0.72%"
"Aug 04, 2020","3,306.51","3,289.92","3,306.84","3,286.37","-","0.36%"
"Aug 05, 2020","3,327.77","3,317.37","3,330.77","3,317.37","-","0.64%"
"Aug 06, 2020","3,349.16","3,323.17","3,351.03","3,318.14","-","0.64%"
"Aug 07, 2020","3,351.28","3,340.05","3,352.54","3,328.72","-","0.06%"
"Aug 10, 2020","3,360.47","3,356.04","3,363.29","3,335.44","-","0.27%"
"Aug 11, 2020","3,333.69","3,370.34","3,381.01","3,326.44","-","-0.80%"
"Aug 12, 2020","3,380.35","3,355.46","3,387.89","3,355.46","-","1.40%"
"Aug 13, 2020","3,373.43","3,372.95","3,387.24","3,363.35","-","-0.20%"
